"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff"
"POINT(5.090828740168766 52.078014177633435)",28565594,"01010000204071000009287DB0D6700041C2BA485FE3BC1B41",8155,0.19546979865771812081,30415,0.72902684563758389262,3150,0.07550335570469798658,41720,0.6777176299676846,0.6797254651134986,0.6447841279243715,0.002007835145814041,0.032933502043313134
"POINT(5.089656486819209 52.07626659547407)",28717193,"01010000204071000067DD276F4D6E0041789859F4DAB91B41",9030,0.17780840799448656099,38430,0.75671950379048931771,3325,0.06547208821502412130,50785,0.6339947349951652,0.6797254651134986,0.6447841279243715,0.045730730118333396,0.01078939292920622
"POINT(5.093261601418136 52.094045403972885)",29986648,"010100002040710000BD8DB5A846760041CE995319BFD81B41",14685,0.13204747774480712166,88660,0.79723046488625123640,7865,0.07072205736894164194,111210,0.5783174360199391,0.6516983727453005,0.6063450703739047,0.07338093672536139,0.028027634353965603
"POINT(5.096153901421023 52.09370180397268)",29986846,"010100002040710000012AE70C777C0041D3DCFBFD22D81B41",17435,0.12629482071713147410,111100,0.80478087649402390438,9515,0.06892430278884462151,138050,0.5647695385594029,0.6516983727453005,0.6063450703739047,0.08692883418589759,0.0415755318145018
"POINT(5.097601801422366 52.0911523039711)",30250065,"010100002040710000FD569EC6877F00414AAA5FCAB2D31B41",17875,0.11805303305484925536,121770,0.80421358517980385035,11770,0.07773338176534689430,151415,0.5698394940118491,0.6516983727453005,0.5643310546377929,0.08185887873345143,0.0055084393740562065
"POINT(5.09680160142165 52.09316560397235)",30255230,"0101000020407100005D181B3AD87D004170D16AA733D71B41",18370,0.12297496318114874816,120010,0.80338733431516936672,11000,0.07363770250368188513,149380,0.5695322888171503,0.6516983727453005,0.5643310546377929,0.08216608392815017,0.005201234179357472
"POINT(5.088456901413884 52.10697790398089)",30411441,"010100002040710000C04090FA2B6C0041833B8CE23FEF1B41",5590,0.10082063305978898007,47255,0.85228604923798358734,2600,0.04689331770222743259,55445,0.4651645771878433,0.6353627822465662,0.5240328490939813,0.17019820505872285,0.05886827190613797
"POINT(5.137671401462846 52.09756600397474)",31021882,"010100002040710000A3CABFC96BD50041DD793E58B0DE1B41",10120,0.13992395437262357414,56595,0.78250950570342205323,5610,0.07756653992395437262,72325,0.6056734068020213,0.6847401462819839,0.6224107655964163,0.07906673947996257,0.016737358794394974
"POINT(5.035962596454324 52.10205901297666)",31373059,"010100002040710000A74EBF7669F7FF4040B72931F3E61B41",6375,0.22309711286089238845,18525,0.64829396325459317585,3675,0.12860892388451443570,28575,0.8004923074990936,0.6884161193992822,0.7156011794763258,0.11207618809981146,0.08489112802276777
"POINT(5.086387405093552 52.0648880970196)",32512520,"010100002040710000AC0C6C9A22670041778424D816A61B41",0,0E-20,75,1.00000000000000000000,0,0E-20,75,-0,0.6884161193992822,-0,0.6884161193992822,0
"POINT(5.138699578098053 52.06600455440328)",32622745,"010100002040710000634ABA4E3FD70041B896FE73D1A71B41",3800,0.11350059737156511350,26680,0.79689366786140979689,3000,0.08960573476702508961,33480,0.586241774096094,0.6797862430577772,0.5807438094335059,0.09354446896168322,0.005497964662588117
"POINT(5.13348189408285 52.05997513962166)",32652906,"010100002040710000ED3BCD53FECB0041773EC81C5B9D1B41",5920,0.15513626834381551363,27080,0.70964360587002096436,5160,0.13522012578616352201,38160,0.7309645330367762,0.6797862430577772,0.6960684424406962,0.05117828997899898,0.03489609059608001
"POINT(5.1317424012933 52.06541225395943)",32679997,"0101000020407100004318F2FD54C8004121B4917AD0A61B41",5080,0.13789359391965255157,28120,0.76330076004343105320,3640,0.09880564603691639522,36840,0.6445134384438705,0.6797862430577772,0.5807438094335059,0.035272804613906694,0.06376962901036465
"POINT(5.112646170087934 52.07300959352068)",33658008,"010100002040710000CDA5DFE5829F0041C1EB27A718B41B41",7665,0.15000000000000000000,37135,0.72671232876712328767,6300,0.12328767123287671233,51100,0.7050917712414775,0.6797254651134986,0.6949943339641933,0.025366306127978855,0.010097437277284182
"POINT(5.116415713958026 52.07327141326561)",33658030,"010100002040710000F35BBA4797A700414A707B4A89B41B41",7980,0.16703296703296703297,34755,0.72747252747252747253,5040,0.10549450549450549451,47775,0.698745164300938,0.6797254651134986,0.6949943339641933,0.0190196991874394,0.003750830336744726
"POINT(5.114602873909447 52.07372869881057)",33658032,"0101000020407100006AE57E82B6A3004111AF60A856B51B41",2170,0.18618618618618618619,7735,0.66366366366366366366,1750,0.15015015015015015015,11655,0.7917004121697889,0.6797254651134986,0.6949943339641933,0.1119749470562903,0.09670607820559562
"POINT(5.119421293300988 52.08634704391148)",33686708,"01010000204071000093D3E7AB32AE004168F0385541CB1B41",3190,0.04482225656877897991,59180,0.83153013910355486862,8800,0.12364760432766615147,71170,0.5015832281123158,0.4575647146001562,0.6469377313914519,0.04401851351215963,0.14535450327913613
