"geometry","osm_id","osm_centroid","children","children_perc","adults","adults_perc","elderly","elderly_perc","total_pop","age_entropy_index","wijk_age_entropy_index","buurt_age_entropy_index","abs_wijk_diff","abs_buurt_diff"
"POINT(4.884867301221288 52.352161004129854)",2816542907,"01010000204071000048203552707CFD4012DAD8ECAF9A1D41",15800,0.10554442217768871075,111600,0.74549098196392785571,22300,0.14896459585838343353,149700,0.6735087723482606,0.7921465333222213,0.844271845429127,0.11863776097396073,0.17076307308086647
"POINT(4.884925801221348 52.352152404129825)",2816542919,"010100002040710000127E44FCAF7CFD406788BDFCAB9A1D41",15800,0.10554442217768871075,111600,0.74549098196392785571,22300,0.14896459585838343353,149700,0.6735087723482606,0.7921465333222213,0.844271845429127,0.11863776097396073,0.17076307308086647
"POINT(4.885117001221537 52.35214410412983)",2816542936,"010100002040710000F3AD084F807DFD40B059ADEEA79A1D41",18700,0.10345781466113416321,136000,0.75242047026279391425,26050,0.14412171507607192254,180750,0.6625765734546109,0.7921465333222213,0.844271845429127,0.12956995986761044,0.18169527197451618
"POINT(4.88518980122161 52.35213550412985)",2816542942,"01010000204071000069C1B98FCF7DFD405BABACF7A39A1D41",18700,0.10345781466113416321,136000,0.75242047026279391425,26050,0.14412171507607192254,180750,0.6625765734546109,0.7921465333222213,0.844271845429127,0.12956995986761044,0.18169527197451618
"POINT(4.885424801221844 52.352118404129826)",2816542965,"010100002040710000B10DC285CF7EFD40E12BE5E99B9A1D41",18000,0.10209869540555870675,133250,0.75581395348837209302,25050,0.14208735110606920023,176300,0.6570334255739603,0.7921465333222213,0.844271845429127,0.13511310774826102,0.18723841985516676
"POINT(4.863843701200246 52.35133310412942)",2816619103,"0101000020407100000E93C508E022FD40E2A8190268991D41",6460,0.15322580645161290323,29400,0.69734345351043643264,6300,0.14943074003795066414,42160,0.748999587624137,0.7548612741466122,0.7811827877040738,0.005861686522475207,0.0321832000799368
"POINT(4.86028760119665 52.35044550412886)",2816652419,"010100002040710000A8131B01B013FD40F8840B01E4971D41",11760,0.13225371120107962213,64350,0.72368421052631578947,12810,0.14406207827260458839,88920,0.7106374950876446,0.7173240366217757,0.7183249756827393,0.006686541534131063,0.00768748059509472
"POINT(4.865687201201871 52.34682940412674)",2816745560,"010100002040710000C0B07DF77F2AFD4082A1AC0490911D41",11280,0.13747714808043875686,57060,0.69542961608775137112,13710,0.16709323583180987203,82050,0.7503621640735929,0.7173240366217757,0.7233516702378507,0.03303812745181722,0.027010493835742166
"POINT(4.86520780120137 52.3464138041265)",2816747308,"0101000020407100009C7280FC6F28FD40926C15FFD7901D41",13650,0.14258853024130366656,66240,0.69194609840175493576,15840,0.16546537135694139768,95730,0.7556907604904748,0.7173240366217757,0.6845180503613836,0.038366723868699104,0.07117271012909121
"POINT(4.862223601198471 52.34808130412747)",2816749307,"01010000204071000045D55C04D01BFD4063EE73FDC3931D41",13290,0.13943972300912810828,67320,0.70632672332389046270,14700,0.15423355366698142902,95310,0.7360139923877611,0.7173240366217757,0.7233516702378507,0.018689955765985422,0.012662322149910366
"POINT(4.878065301214397 52.35010100412865)",2816813675,"01010000204071000078658AC15F5FFD40E4E2840E28971D41",9420,0.16227390180878552972,36060,0.62118863049095607235,12570,0.21653746770025839793,58050,0.8393783052932006,0.8393700246889289,0.8351887920809523,0.000008280604271715397,0.004189513212248253
"POINT(4.878007001214336 52.350046904128604)",2816826230,"01010000204071000067E52D861F5FFD4020CB541710971D41",9420,0.16227390180878552972,36060,0.62118863049095607235,12570,0.21653746770025839793,58050,0.8393783052932006,0.8393700246889289,0.8351887920809523,0.000008280604271715397,0.004189513212248253
"POINT(4.877571601213881 52.349658404128384)",2816829710,"0101000020407100005FB44703405DFD40575AF60564961D41",10740,0.16505301982480405717,39810,0.61180267404333794375,14520,0.22314430613185799908,65070,0.848934533065754,0.8393700246889289,0.8351887920809523,0.009564508376825098,0.013745740984801635
"POINT(4.877309601213608 52.34945060412824)",2816830917,"010100002040710000DD0E55CA1F5CFD40DB6B4D0B08961D41",9960,0.16878495170310116929,35880,0.60803253685815963396,13170,0.22318251143873919675,59010,0.8533713835843134,0.8393700246889289,0.8351887920809523,0.014001358895384564,0.0181825915033611
"POINT(4.877251501213548 52.34939640412824)",2816830949,"010100002040710000B0F2F8C5DF5BFD4038BDAA08F0951D41",10740,0.17023300047551117451,38520,0.61055634807417974322,13830,0.21921065145030908226,63090,0.8513944294328936,0.8393700246889289,0.8351887920809523,0.012024404743964712,0.01620563735194125
"POINT(4.877189301213483 52.34933180412818)",2816830994,"010100002040710000668EFD279B5BFD406BB92567D3951D41",10740,0.17023300047551117451,38520,0.61055634807417974322,13830,0.21921065145030908226,63090,0.8513944294328936,0.8393700246889289,0.8351887920809523,0.012024404743964712,0.01620563735194125
"POINT(4.877121501213411 52.34923400412813)",2816831682,"01010000204071000008A69F04505BFD40F8A2D001A8951D41",10800,0.16917293233082706767,38850,0.60855263157894736842,14190,0.22227443609022556391,63840,0.8529932804012736,0.8393700246889289,0.8351887920809523,0.013623255712344795,0.017804488320321332
"POINT(4.876906401213172 52.34873870412784)",2816832388,"0101000020407100004881F3505F5AFD40DC6C94FCCB941D41",9510,0.17218902770233568713,33630,0.60890820206409560022,12090,0.21890277023356871266,55230,0.8533689484919007,0.8393700246889289,0.8421971603911212,0.013998923802971852,0.011171788100779456
"POINT(4.876893001213153 52.34865830412781)",2816832717,"010100002040710000F25B3EB34F5AFD402F02F93AA8941D41",9510,0.17218902770233568713,33630,0.60890820206409560022,12090,0.21890277023356871266,55230,0.8533689484919007,0.8393700246889289,0.8421971603911212,0.013998923802971852,0.011171788100779456
"POINT(4.876879401213137 52.348577204127736)",2816832778,"010100002040710000E89675DB3F5AFD40CC16B62984941D41",9510,0.17218902770233568713,33630,0.60890820206409560022,12090,0.21890277023356871266,55230,0.8533689484919007,0.8393700246889289,0.8421971603911212,0.013998923802971852,0.011171788100779456
"POINT(4.876846201213098 52.348497504127685)",2816833401,"010100002040710000B2000FAA1A5AFD401FB195C160941D41",9510,0.17218902770233568713,33630,0.60890820206409560022,12090,0.21890277023356871266,55230,0.8533689484919007,0.8393700246889289,0.8421971603911212,0.013998923802971852,0.011171788100779456
"POINT(4.87680960121305 52.34822610412751)",2816833835,"010100002040710000700A8C5CEF59FD409C733B0AE8931D41",10140,0.17377892030848329049,35550,0.60925449871465295630,12660,0.21696658097686375321,58350,0.853379279791918,0.8393700246889289,0.8421971603911212,0.014009255102989115,0.01118211940079672
"POINT(4.876810901213048 52.34811850412746)",2816833875,"01010000204071000076AD106EEF59FD400A986F26B8931D41",9270,0.18349168646080760095,30690,0.60748218527315914489,10560,0.20902612826603325416,50520,0.8566284183204566,0.8393700246889289,0.8421971603911212,0.017258393631527702,0.014431257929335306
"POINT(4.876798001213028 52.348010304127385)",2816833895,"010100002040710000B09D9602E059FD400EC5410588931D41",9270,0.18349168646080760095,30690,0.60748218527315914489,10560,0.20902612826603325416,50520,0.8566284183204566,0.8393700246889289,0.8421971603911212,0.017258393631527702,0.014431257929335306
"POINT(4.876798601213027 52.34795630412739)",2816834746,"010100002040710000967FBFFCDF59FD408AD598FC6F931D41",9270,0.18349168646080760095,30690,0.60748218527315914489,10560,0.20902612826603325416,50520,0.8566284183204566,0.8393700246889289,0.8421971603911212,0.017258393631527702,0.014431257929335306
"POINT(4.876783701213009 52.34791160412734)",2816834761,"010100002040710000BA10DB2ECF59FD40D671201F5C931D41",9270,0.18349168646080760095,30690,0.60748218527315914489,10560,0.20902612826603325416,50520,0.8566284183204566,0.8393700246889289,0.8421971603911212,0.017258393631527702,0.014431257929335306
