"id","c28992r100","osm_id"
"E0956N4321_25801467","E0956N4321",25801467
"E0956N4321_54090116","E0956N4321",54090116
"E0956N4321_89068452","E0956N4321",89068452
"E0956N4321_131952682","E0956N4321",131952682
"E0956N4321_133089732","E0956N4321",133089732
"E0956N4321_306396449","E0956N4321",306396449
"E0956N4321_820385515","E0956N4321",820385515
"E0956N4321_820385534","E0956N4321",820385534
"E0956N4321_835822384","E0956N4321",835822384
"E0956N4321_835822402","E0956N4321",835822402
"E0956N4321_835822417","E0956N4321",835822417
"E0956N4321_835822429","E0956N4321",835822429
"E0956N4321_835822433","E0956N4321",835822433
"E0956N4321_919677996","E0956N4321",919677996
"E0956N4321_919677998","E0956N4321",919677998
"E0956N4321_919678026","E0956N4321",919678026
"E0956N4321_919678034","E0956N4321",919678034
"E0956N4321_977501879","E0956N4321",977501879
"E0956N4321_4152147276","E0956N4321",4152147276
"E0956N4321_4152147277","E0956N4321",4152147277
"E0956N4321_4152147278","E0956N4321",4152147278
"E0956N4321_7660458188","E0956N4321",7660458188
"E0956N4321_7660458240","E0956N4321",7660458240
"E0956N4321_7660458241","E0956N4321",7660458241
"E0956N4321_9044905850","E0956N4321",9044905850
"E0956N4321_9044905852","E0956N4321",9044905852
"E0956N4321_9044905876","E0956N4321",9044905876
"E0956N4321_9044905878","E0956N4321",9044905878
"E0956N4322_25801467","E0956N4322",25801467
"E0956N4322_54084712","E0956N4322",54084712
"E0956N4322_54090116","E0956N4322",54090116
"E0956N4322_131952682","E0956N4322",131952682
"E0956N4322_306396449","E0956N4322",306396449
"E0956N4322_820385515","E0956N4322",820385515
"E0956N4322_835822384","E0956N4322",835822384
"E0956N4322_835822402","E0956N4322",835822402
"E0956N4322_835822417","E0956N4322",835822417
"E0956N4322_835822429","E0956N4322",835822429
"E0956N4322_835822433","E0956N4322",835822433
"E0956N4322_919677996","E0956N4322",919677996
"E0956N4322_919677998","E0956N4322",919677998
"E0956N4322_919678026","E0956N4322",919678026
"E0956N4322_919678034","E0956N4322",919678034
"E0956N4322_4152147277","E0956N4322",4152147277
"E0956N4322_9044905878","E0956N4322",9044905878
"E0956N4323_25801467","E0956N4323",25801467
"E0956N4323_54084712","E0956N4323",54084712
"E0956N4323_54090116","E0956N4323",54090116
"E0956N4323_131952682","E0956N4323",131952682
"E0956N4323_306396449","E0956N4323",306396449
"E0956N4323_820385515","E0956N4323",820385515
"E0956N4323_835822339","E0956N4323",835822339
"E0956N4323_835822384","E0956N4323",835822384
"E0956N4323_835822402","E0956N4323",835822402
"E0956N4323_835822417","E0956N4323",835822417
"E0956N4323_835822429","E0956N4323",835822429
"E0956N4323_835822433","E0956N4323",835822433
"E0956N4323_919677996","E0956N4323",919677996
"E0956N4323_919677998","E0956N4323",919677998
"E0956N4323_919678026","E0956N4323",919678026
"E0956N4323_919678034","E0956N4323",919678034
"E0956N4323_4152147277","E0956N4323",4152147277
"E0956N4323_9044905878","E0956N4323",9044905878
"E0956N4324_25801467","E0956N4324",25801467
"E0956N4324_54084712","E0956N4324",54084712
"E0956N4324_54090116","E0956N4324",54090116
"E0956N4324_131952682","E0956N4324",131952682
"E0956N4324_306396449","E0956N4324",306396449
"E0956N4324_835822339","E0956N4324",835822339
"E0956N4324_835822384","E0956N4324",835822384
"E0956N4324_835822402","E0956N4324",835822402
"E0956N4324_835822417","E0956N4324",835822417
"E0956N4324_835822429","E0956N4324",835822429
"E0956N4324_835822433","E0956N4324",835822433
"E0956N4324_902460999","E0956N4324",902460999
"E0956N4324_917275144","E0956N4324",917275144
"E0956N4324_919677996","E0956N4324",919677996
"E0956N4324_919677998","E0956N4324",919677998
"E0956N4324_919678026","E0956N4324",919678026
"E0956N4324_919678034","E0956N4324",919678034
"E0956N4324_4152147277","E0956N4324",4152147277
"E0956N4324_6654012118","E0956N4324",6654012118
"E0956N4324_6654012156","E0956N4324",6654012156
"E0956N4325_129581559","E0956N4325",129581559
"E0957N4324_54084712","E0957N4324",54084712
"E0956N4325_152905913","E0956N4325",152905913
"E0956N4325_159479814","E0956N4325",159479814
"E0956N4325_483554744","E0956N4325",483554744
"E0956N4325_835822339","E0956N4325",835822339
"E0956N4325_835822343","E0956N4325",835822343
"E0956N4325_835822384","E0956N4325",835822384
"E0956N4325_835822399","E0956N4325",835822399
"E0956N4325_835822402","E0956N4325",835822402
"E0956N4325_835822405","E0956N4325",835822405
"E0956N4325_835822415","E0956N4325",835822415
"E0956N4325_835822417","E0956N4325",835822417
"E0956N4325_835822419","E0956N4325",835822419
"E0956N4325_835822429","E0956N4325",835822429
"E0956N4325_835822433","E0956N4325",835822433
"E0956N4325_902460999","E0956N4325",902460999
"E0956N4325_917275107","E0956N4325",917275107
"E0956N4325_917275122","E0956N4325",917275122
"E0956N4325_917275142","E0956N4325",917275142
"E0956N4325_917275144","E0956N4325",917275144
"E0956N4325_917275154","E0956N4325",917275154
"E0956N4325_919677996","E0956N4325",919677996
"E0956N4325_919677998","E0956N4325",919677998
"E0956N4325_919678026","E0956N4325",919678026
"E0956N4325_919678034","E0956N4325",919678034
"E0956N4325_2790767041","E0956N4325",2790767041
"E0956N4325_6654012118","E0956N4325",6654012118
"E0956N4325_6654012156","E0956N4325",6654012156
"E0956N4326_129581559","E0956N4326",129581559
"E0956N4326_835822339","E0956N4326",835822339
"E0956N4326_835822384","E0956N4326",835822384
"E0956N4326_835822399","E0956N4326",835822399
"E0956N4326_835822405","E0956N4326",835822405
"E0956N4326_835822415","E0956N4326",835822415
"E0956N4326_835822419","E0956N4326",835822419
"E0956N4326_835822429","E0956N4326",835822429
"E0956N4326_902460999","E0956N4326",902460999
"E0956N4326_917275107","E0956N4326",917275107
"E0956N4326_917275122","E0956N4326",917275122
"E0956N4326_917275142","E0956N4326",917275142
"E0956N4326_917275144","E0956N4326",917275144
"E0956N4326_917275154","E0956N4326",917275154
"E0956N4326_2790767041","E0956N4326",2790767041
"E0956N4326_6654012118","E0956N4326",6654012118
"E0956N4326_6654012156","E0956N4326",6654012156
"E0956N4327_129581559","E0956N4327",129581559
"E0956N4327_902460999","E0956N4327",902460999
"E0956N4327_917275107","E0956N4327",917275107
"E0956N4327_917275122","E0956N4327",917275122
"E0956N4327_917275142","E0956N4327",917275142
"E0956N4327_917275144","E0956N4327",917275144
"E0956N4327_917275154","E0956N4327",917275154
"E0956N4327_2790767041","E0956N4327",2790767041
"E0956N4327_6654012118","E0956N4327",6654012118
"E0956N4328_129581559","E0956N4328",129581559
"E0956N4328_902460999","E0956N4328",902460999
"E0956N4328_917275107","E0956N4328",917275107
"E0956N4328_917275122","E0956N4328",917275122
"E0956N4328_917275142","E0956N4328",917275142
"E0956N4328_917275144","E0956N4328",917275144
"E0956N4328_917275154","E0956N4328",917275154
"E0956N4328_2790767041","E0956N4328",2790767041
"E0956N4328_6654012118","E0956N4328",6654012118
"E0956N4329_1760310814","E0956N4329",1760310814
"E0956N4329_2790766522","E0956N4329",2790766522
"E0956N4330_1760310814","E0956N4330",1760310814
"E0956N4330_2790766522","E0956N4330",2790766522
"E0956N4346_1716780155","E0956N4346",1716780155
"E0956N4346_1716780196","E0956N4346",1716780196
"E0956N4346_1716780212","E0956N4346",1716780212
"E0956N4346_2786675423","E0956N4346",2786675423
"E0956N4346_2786685211","E0956N4346",2786685211
"E0956N4346_4799777272","E0956N4346",4799777272
"E0956N4346_4855504107","E0956N4346",4855504107
"E0956N4346_4855509156","E0956N4346",4855509156
"E0956N4346_5715004239","E0956N4346",5715004239
"E0956N4346_5715004240","E0956N4346",5715004240
"E0956N4346_7091800225","E0956N4346",7091800225
"E0956N4346_7091833824","E0956N4346",7091833824
"E0956N4356_576091644","E0956N4356",576091644
"E0956N4356_576094607","E0956N4356",576094607
"E0956N4356_576253589","E0956N4356",576253589
"E0956N4357_576091644","E0956N4357",576091644
"E0956N4357_576094607","E0956N4357",576094607
"E0956N4357_576253589","E0956N4357",576253589
"E0956N4358_576091644","E0956N4358",576091644
"E0956N4358_576094607","E0956N4358",576094607
"E0956N4358_576253589","E0956N4358",576253589
"E0956N4360_576087979","E0956N4360",576087979
"E0956N4360_576087981","E0956N4360",576087981
"E0956N4360_576087982","E0956N4360",576087982
"E0956N4360_576091644","E0956N4360",576091644
"E0956N4360_576094607","E0956N4360",576094607
"E0956N4360_576253592","E0956N4360",576253592
"E0956N4361","E0956N4361",NULL
"E0956N4362","E0956N4362",NULL
"E0956N4363","E0956N4363",NULL
"E0956N4365_576086977","E0956N4365",576086977
"E0956N4365_5526437680","E0956N4365",5526437680
"E0956N4370_576097149","E0956N4370",576097149
"E0956N4370_412640823","E0956N4370",412640823
"E0956N4370_576097150","E0956N4370",576097150
"E0956N4370_576097151","E0956N4370",576097151
"E0956N4370_3951587362","E0956N4370",3951587362
"E0956N4370_3951587368","E0956N4370",3951587368
"E0956N4370_3951587370","E0956N4370",3951587370
"E0956N4370_4003342397","E0956N4370",4003342397
"E0956N4370_4003342398","E0956N4370",4003342398
"E0956N4370_4140102516","E0956N4370",4140102516
"E0956N4370_4140102517","E0956N4370",4140102517
"E0956N4370_4140116204","E0956N4370",4140116204
"E0956N4370_4140315549","E0956N4370",4140315549
"E0956N4370_4140315720","E0956N4370",4140315720
"E0956N4370_4140420023","E0956N4370",4140420023
"E0956N4370_4140420024","E0956N4370",4140420024
"E0956N4370_4140573817","E0956N4370",4140573817
"E0956N4373_8780927316","E0956N4373",8780927316
"E0956N4373_8780988217","E0956N4373",8780988217
"E0956N4373_8780988218","E0956N4373",8780988218
"E0956N4374_8780988218","E0956N4374",8780988218
"E0956N4375","E0956N4375",NULL
"E0956N4376","E0956N4376",NULL
"E0956N4407","E0956N4407",NULL
"E0956N4408","E0956N4408",NULL
"E0957N4315_336743942","E0957N4315",336743942
"E0957N4315_669906364","E0957N4315",669906364
"E0957N4315_915594822","E0957N4315",915594822
"E0957N4315_1871187335","E0957N4315",1871187335
"E0957N4316_669906364","E0957N4316",669906364
"E0957N4316_915594822","E0957N4316",915594822
"E0957N4317_669906364","E0957N4317",669906364
"E0957N4317_915594822","E0957N4317",915594822
"E0957N4318","E0957N4318",NULL
"E0957N4319","E0957N4319",NULL
"E0957N4320_54090116","E0957N4320",54090116
"E0957N4320_89068452","E0957N4320",89068452
"E0957N4320_131952682","E0957N4320",131952682
"E0957N4320_820385515","E0957N4320",820385515
"E0957N4320_820385534","E0957N4320",820385534
"E0957N4320_835822384","E0957N4320",835822384
"E0957N4320_977501879","E0957N4320",977501879
"E0957N4320_4152147276","E0957N4320",4152147276
"E0957N4320_4152147277","E0957N4320",4152147277
"E0957N4320_4152147278","E0957N4320",4152147278
"E0957N4320_7660458188","E0957N4320",7660458188
"E0957N4320_7660458240","E0957N4320",7660458240
"E0957N4320_7660458241","E0957N4320",7660458241
"E0957N4320_9044905850","E0957N4320",9044905850
"E0957N4320_9044905852","E0957N4320",9044905852
"E0957N4320_9044905876","E0957N4320",9044905876
"E0957N4320_9044905878","E0957N4320",9044905878
"E0957N4321_54084712","E0957N4321",54084712
"E0957N4321_54090116","E0957N4321",54090116
"E0957N4321_89068452","E0957N4321",89068452
"E0957N4321_131952682","E0957N4321",131952682
"E0957N4321_306396449","E0957N4321",306396449
"E0957N4321_820385515","E0957N4321",820385515
"E0957N4321_820385534","E0957N4321",820385534
"E0957N4321_835822384","E0957N4321",835822384
"E0957N4321_835822402","E0957N4321",835822402
"E0957N4321_835822417","E0957N4321",835822417
"E0957N4321_835822429","E0957N4321",835822429
"E0957N4321_835822433","E0957N4321",835822433
"E0957N4321_919677996","E0957N4321",919677996
"E0957N4321_919677998","E0957N4321",919677998
"E0957N4321_919678026","E0957N4321",919678026
"E0957N4321_919678034","E0957N4321",919678034
